No,Index,nCsp2,SpMax_EA(ri),SpMax_AEA(dm),SM11_EA,Eig03_EA,B03[C-N],S1K,piPC05,piPC07,AAC,SIC4,SpDiam_B(e),SpMax1_Bh(i),Mor31v,TE1,logTg,Series
109,JPS_10,0,1.2,2.762,0.0,0.0,0,2.364,0.0,0.0,0.918,0.0,3.762,2.945,0.052,0.823,2.3139,T
110,JPS_12,1,2.532,3.671,10.729,1.124,0,5.601,1.946,1.609,0.764,1.0,4.181,3.467,0.314,3.683,2.2878,T
111,JPS_13,0,1.784,2.352,0.0,0.765,0,6.416,1.609,1.099,0.544,1.0,4.03,3.197,0.363,3.44,2.316,T
113,JPS_15,0,1.895,2.353,0.0,1.31,0,8.753,2.079,1.792,0.439,1.0,4.053,3.213,0.5,4.499,2.2878,T
114,JPS_16,1,2.459,3.502,9.881,1.342,0,8.844,2.398,1.386,0.439,1.0,4.27,3.335,0.365,4.883,2.316,T
115,JPS_17,0,1.928,2.353,0.0,1.497,0,10.312,2.303,2.079,0.391,1.0,4.061,3.218,0.588,5.144,2.2945,T
117,JPS_19,1,2.214,2.73,8.697,-0.539,0,4.766,0.0,0.0,0.0,0.371,4.177,3.189,0.257,1.845,2.48,T
119,JPS_21,1,2.379,3.779,9.281,0.274,0,5.753,1.099,0.0,0.863,0.714,4.555,3.464,0.177,3.372,2.4518,T
120,JPS_22,0,1.281,2.123,0.0,-1.414,0,3.299,0.0,0.0,0.811,0.0,3.441,2.861,0.097,1.533,2.415,T
121,JPS_23,2,2.336,3.584,9.984,0.354,0,6.623,1.386,0.0,0.811,0.75,4.548,3.445,0.257,4.198,2.4786,T
122,JPS_24,1,2.164,3.779,9.281,0.274,0,5.753,1.099,0.0,0.863,0.714,4.651,3.496,0.074,3.648,2.3997,T
123,JPS_25,3,2.576,3.661,10.922,1.0,0,7.494,1.946,0.0,0.764,0.708,4.94,3.62,0.245,4.628,2.5145,T
124,JPS_26,0,1.0,1.0,0.0,0.0,0,2.338,0.0,0.0,0.0,0.0,3.111,2.556,0.169,0.842,2.3674,T
126,JPS_28,2,2.55,3.64,10.678,1.785,0,14.416,2.773,2.639,0.503,0.937,4.911,3.605,0.86,7.712,2.3385,T
127,JPS_29,2,2.446,3.854,10.183,1.496,0,6.509,3.045,3.045,0.971,0.699,4.713,3.421,0.164,6.188,2.4346,T
128,JPS_30,0,1.397,3.02,0.0,-0.618,0,4.104,0.0,0.0,0.971,0.4,4.17,3.257,0.056,2.408,2.4829,T
130,JPS_34,0,0.0,0.86,0.0,0.0,0,1.584,0.0,0.0,1.0,0.0,2.224,2.21,0.007,1.353,2.3385,T
131,JPS_35,2,2.55,3.64,10.678,1.414,0,9.74,2.303,2.079,0.65,1.0,4.911,3.605,0.428,5.726,2.4281,T
132,JPS_36,1,3.317,4.218,13.275,1.414,0,9.87,2.197,1.609,0.65,0.954,4.952,3.644,0.452,6.599,2.4669,T
133,JPS_37,2,2.55,3.64,10.677,1.0,0,7.403,1.946,0.0,0.764,0.889,4.911,3.603,0.257,4.605,2.4886,T
134,JPS_38,2,2.549,3.639,10.671,0.724,0,6.623,1.099,0.0,0.811,0.667,4.676,3.506,0.2,4.351,2.5105,T
135,JPS_39,2,2.563,3.494,10.71,1.247,0,6.458,2.773,1.792,0.722,1.0,4.478,3.459,0.341,4.712,2.5105,T
138,JPS_42,0,1.414,1.414,0.0,-1.414,0,3.117,0.0,0.0,0.0,0.0,3.882,3.007,0.148,1.209,2.4298,T
143,JPS_47,2,2.68,3.641,10.677,1.0,0,7.429,1.946,0.0,0.918,0.889,4.911,3.604,0.098,5.786,2.5551,T
144,JPS_48,1,2.275,3.824,9.281,0.274,0,6.26,1.099,0.0,1.379,0.714,4.553,3.468,0.125,3.024,2.4829,T
145,JPS_49,2,2.68,3.641,10.677,1.0,0,7.909,1.946,0.0,1.224,0.889,4.911,3.604,0.165,4.114,2.5623,T
146,JPS_50,0,1.414,3.876,0.0,-1.414,1,3.052,0.0,0.0,0.811,0.0,4.342,3.324,0.066,0.696,2.5775,T
147,JPS_51,1,2.17,2.698,8.507,-1.0,0,3.987,0.0,0.0,0.0,0.0,4.495,3.321,0.179,1.282,2.3075,T
149,JPS_53,1,2.638,3.822,11.34,1.122,0,4.686,2.197,1.099,1.061,1.0,4.659,3.622,0.167,3.255,2.6212,T
150,JPS_54,1,2.732,3.314,11.023,1.0,0,5.997,4.043,3.219,0.986,1.0,5.109,3.704,-0.102,-999.0,2.2718,T
151,JPS_55,3,2.505,3.783,11.215,1.487,0,8.434,3.135,2.708,1.041,0.907,4.947,3.643,0.418,5.448,2.5877,T
152,JPS_56,0,1.0,2.048,0.0,0.0,0,2.844,0.0,0.0,0.918,0.0,3.125,2.596,0.084,0.483,2.5416,T
153,JPS_57,1,2.17,3.15,8.507,-1.0,0,4.494,0.0,0.0,0.722,0.0,4.501,3.336,0.135,0.859,2.3522,T
156,JPS_60,4,2.876,3.85,11.93,1.805,0,12.278,4.7,5.124,0.874,1.0,5.396,3.901,0.071,9.073,2.5378,T
158,JPS_63,2,2.691,3.543,11.409,1.466,0,6.278,4.317,3.714,0.469,1.0,5.281,3.833,0.041,3.567,2.6117,T
159,JPS_64,1,2.424,4.779,10.342,-1.0,0,2.044,0.0,0.0,0.811,0.0,3.779,3.304,0.149,0.68,2.5717,T
162,JPS_67,1,1.628,2.892,7.624,-1.0,0,4.221,0.0,0.0,1.0,0.0,3.823,2.959,0.058,0.625,2.5587,T
163,JPS_68,2,2.539,3.599,11.229,1.414,0,5.831,4.174,3.367,0.503,1.0,5.277,3.811,0.007,1.673,2.4082,T
164,JPS_69,3,2.637,3.668,11.907,1.512,0,7.188,4.29,3.611,0.722,1.0,5.407,3.869,0.009,1.608,2.5933,T
166,JPS_71,5,3.018,3.764,12.543,2.173,0,10.44,5.617,6.176,0.297,0.975,5.588,3.993,-0.056,5.95,2.5478,T
169,JPS_74,4,3.228,3.702,13.275,2.175,1,7.62,5.736,6.468,0.353,0.795,5.636,4.189,-0.085,4.054,2.6355,T
172,JPS_77,1,2.169,3.78,9.306,0.778,0,7.494,1.946,1.099,0.918,1.0,4.656,3.506,0.078,4.934,2.5717,T
173,JPS_78,2,2.617,3.702,10.901,1.414,0,9.922,2.197,1.946,0.811,1.0,4.695,3.538,0.336,6.962,2.3483,T
175,AF_01,1,2.499,3.464,9.976,1.0,0,4.483,2.565,1.609,0.0,0.833,4.438,3.373,0.403,2.305,2.29,T
176,AF_03,1,2.144,3.771,9.153,0.0,0,4.974,0.0,0.0,0.918,0.333,4.643,3.477,0.017,3.053,2.5599,T
178,AF_06,2,2.783,3.422,11.229,1.414,0,5.334,4.174,3.497,0.0,1.0,5.257,3.788,0.066,1.946,2.5416,T
181,AF_11,0,1.835,2.353,0.0,1.0,0,7.195,1.792,1.386,0.503,1.0,4.04,3.204,0.371,3.876,2.5786,T
182,AF_14,1,1.255,2.892,7.624,-1.0,0,4.221,0.0,0.0,1.0,0.0,4.352,3.213,0.05,0.494,2.3201,T
183,AF_15,2,2.732,3.314,11.023,1.0,0,5.334,4.143,3.611,0.0,1.0,5.208,3.763,0.079,1.939,2.4082,T
184,AF_16,1,2.181,3.431,9.782,0.797,0,8.091,1.792,1.099,0.722,1.0,4.177,3.307,0.389,5.484,2.6117,T
185,AF_22,0,1.865,1.939,0.0,1.0,0,7.039,1.792,1.386,0.503,1.0,4.021,3.162,0.378,3.974,2.2788,T
186,AF_24,0,1.827,1.924,0.0,0.765,0,6.26,1.609,1.099,0.544,1.0,4.013,3.151,0.311,3.756,2.3075,T
187,AF_25,1,2.176,3.779,9.306,1.525,0,10.429,2.398,2.197,0.619,1.0,4.656,3.506,0.553,6.107,2.316,T
188,AF_26,1,2.176,3.779,9.306,1.414,0,9.649,2.303,2.079,0.65,1.0,4.656,3.506,0.391,5.576,2.3181,T
190,AF_31,2,3.094,3.669,12.595,1.44,0,9.961,2.303,2.303,0.65,0.889,4.921,3.612,0.285,5.956,2.4969,T
191,AF_32,1,2.666,4.598,13.08,0.827,0,8.0,1.946,0.0,1.53,0.611,4.968,3.723,0.084,4.2,2.5024,T
192,AF_33,2,2.55,3.713,10.678,1.167,0,8.688,2.079,1.386,1.157,1.0,4.908,3.612,0.251,4.581,2.5038,T
195,AF_36,2,2.65,3.62,10.777,1.427,0,7.637,4.431,4.234,0.0,1.0,5.22,3.8,0.279,2.908,2.4133,T
