No,Index,nCsp2,SpMax_EA(ri),SpMax_AEA(dm),SM11_EA,Eig03_EA,B03[C-N],S1K,piPC05,piPC07,AAC,SIC4,SpDiam_B(e),SpMax1_Bh(i),Mor31v,TE1,logTg,Series
528,WL09_014,1,3.052,4.382,12.808,0.503,1,8.247,2.773,0.0,1.157,0.84,5.03,3.7,0.147,4.758,2.5302,T
530,WL09_016,1,2.176,3.779,9.306,1.762,0,13.545,2.708,2.565,0.523,0.932,4.656,3.506,0.69,7.466,2.4314,T
532,WL09_018,4,2.778,3.909,11.74,2.037,0,11.322,4.7,4.949,0.811,1.0,5.352,3.88,0.04,7.965,2.4728,T
534,WL09_021,1,2.153,3.785,9.281,0.274,0,5.909,1.099,0.0,1.379,0.714,4.654,3.503,0.028,3.648,2.4594,T
535,WL09_022,1,3.328,4.9,15.123,2.303,0,14.519,2.89,2.773,1.419,0.863,5.238,3.889,0.161,8.589,2.3856,T
536,WL09_023,1,3.074,4.8,14.625,2.347,0,15.481,3.219,2.565,1.496,0.874,5.098,3.833,0.091,9.322,2.3385,T
537,WL09_024,1,3.362,4.849,15.16,2.303,0,13.74,3.219,0.0,1.429,0.635,5.284,3.92,0.078,7.704,2.4518,T
538,WL09_026,1,2.176,3.779,9.306,1.859,0,16.662,2.944,2.833,0.454,0.787,4.656,3.506,0.97,8.948,2.4886,T
539,WL09_029,1,2.383,4.208,9.306,1.525,1,10.935,2.565,2.398,1.352,1.0,4.657,3.507,0.185,5.3,2.3324,T
541,WL09_031,4,2.776,3.907,11.723,2.027,0,10.548,4.673,4.89,0.837,1.0,5.352,3.878,0.016,7.253,2.4928,T
542,WL09_032,4,2.755,3.863,11.667,2.046,0,10.548,4.654,4.905,0.837,1.0,5.338,3.874,-0.006,7.247,2.5315,T
543,WL09_033,3,2.503,3.849,11.081,1.942,0,8.885,4.489,4.443,0.779,1.0,5.233,3.828,-0.017,5.869,2.5105,T
544,WL09_034,1,2.173,3.779,9.306,1.058,0,8.273,2.079,1.792,0.881,1.0,4.656,3.506,0.173,5.233,2.2967,T
545,WL09_035,2,2.357,3.791,10.028,0.797,0,8.182,2.303,1.099,0.722,1.0,4.678,3.519,0.314,5.18,2.382,T
546,WL09_037,2,2.379,3.791,10.085,1.118,0,8.961,2.398,1.792,0.684,1.0,4.679,3.521,0.367,5.549,2.3711,T
547,WL09_038,5,3.134,3.688,12.676,1.844,0,8.778,5.293,5.796,0.567,1.0,5.629,4.012,-0.125,4.298,2.5539,T
548,WL09_039,1,3.117,4.837,15.127,2.374,0,18.351,3.526,2.773,1.458,0.876,5.193,3.887,0.105,11.082,2.3502,T
549,WL09_040,1,3.503,4.954,15.563,2.376,0,17.39,3.296,2.944,1.378,0.867,5.375,3.961,0.262,10.444,2.3729,T
550,WL09_041,2,3.465,4.901,15.269,2.316,0,16.325,3.178,2.89,1.392,0.893,5.287,3.915,0.174,10.225,2.3766,T
551,WL09_042,1,2.988,4.804,14.349,2.044,0,11.649,2.708,1.946,1.46,0.86,5.019,3.773,0.159,6.902,2.3927,T
552,WL09_043,1,2.153,3.706,8.737,1.226,0,7.935,2.485,2.197,0.722,1.0,4.691,3.501,0.401,3.842,2.4265,T
553,WL09_044,2,2.517,3.781,10.448,1.547,0,8.615,4.143,3.807,0.619,1.0,5.048,3.705,0.123,5.347,2.4314,T
556,WL09_047,2,2.785,4.477,13.253,1.572,0,12.325,2.485,2.639,1.493,0.925,4.771,3.649,0.049,7.868,2.3997,T
557,WL09_048,1,2.167,4.094,9.306,0.778,0,7.883,1.946,1.099,1.224,1.0,4.655,3.504,0.081,4.21,2.3284,T
559,WL09_050,1,2.168,4.199,9.306,1.058,0,8.662,2.079,1.792,1.157,1.0,4.656,3.505,0.12,4.58,2.3054,T
560,WL09_051,3,2.585,3.862,11.037,1.809,0,7.933,4.369,4.043,0.65,1.0,5.242,3.811,0.038,4.623,2.4742,T
562,WL09_055,1,3.502,4.941,15.863,3.267,0,24.091,3.829,3.526,1.39,0.879,5.411,3.992,0.195,14.599,2.3118,T
563,WL09_056,1,3.602,4.987,15.868,2.766,0,20.26,3.584,3.091,1.342,0.87,5.463,4.008,0.259,12.278,2.3692,T
564,WL09_057,1,2.382,4.211,9.306,1.414,1,10.156,2.485,2.303,1.418,1.0,4.657,3.507,0.075,4.765,2.3483,T
565,WL09_058,4,2.758,3.864,11.687,2.058,0,12.873,4.718,4.997,0.764,1.0,5.339,3.877,0.223,8.979,2.4564,T
567,WL09_060,1,2.383,3.878,9.306,1.264,1,8.805,2.398,2.197,1.096,1.0,4.66,3.51,0.204,4.784,2.3674,T
569,WL09_062,3,2.651,3.872,11.623,2.0,1,9.658,4.554,4.615,0.946,0.962,5.283,3.855,-0.041,6.118,2.5051,T
571,WL09_065,2,2.447,3.801,10.289,0.821,0,8.961,2.398,1.609,0.684,0.895,4.681,3.525,0.336,5.703,2.3483,T
573,WL09_068,2,3.124,4.769,14.057,2.297,0,13.455,2.833,2.639,1.429,0.885,5.016,3.771,0.203,8.265,2.3997,T
574,WL09_070,4,2.904,3.871,12.115,1.941,0,10.548,4.727,4.745,0.837,1.0,5.41,3.915,0.052,7.655,2.5038,T
575,WL09_073,1,2.176,3.779,9.306,1.608,0,11.208,2.485,2.303,0.592,1.0,4.656,3.506,0.617,6.845,2.3324,T
576,WL09_074,1,2.175,3.779,9.306,1.058,0,8.091,2.079,1.792,0.722,1.0,4.656,3.505,0.259,4.895,2.3345,T
580,WL09_078,1,2.173,4.089,9.306,1.058,0,8.662,2.079,1.792,1.157,1.0,4.656,3.505,0.132,4.702,2.3181,T
581,WL09_079,3,2.557,3.847,10.958,1.894,0,7.933,4.419,4.205,0.65,1.0,5.232,3.812,0.035,4.591,2.4997,T
582,WL09_080,1,2.383,4.259,9.306,1.672,0,12.494,2.708,2.565,1.237,1.0,4.656,3.507,0.275,6.311,2.3304,T
583,WL09_081,2,2.474,4.151,10.352,1.616,1,11.234,2.996,2.833,0.946,1.0,4.77,3.586,0.375,6.197,2.5899,T
586,WL09_084,3,2.775,3.816,11.514,1.732,0,10.251,4.605,4.82,0.567,1.0,5.339,3.863,0.184,6.322,2.5428,T
587,WL09_087,3,2.885,3.848,11.511,1.565,0,8.524,4.564,4.762,0.391,1.0,5.333,3.856,0.214,3.699,2.5403,T
589,WL09_089,3,2.774,3.816,11.511,1.565,0,8.705,4.564,4.762,0.619,1.0,5.338,3.862,0.062,5.275,2.5647,T
590,WL09_090,2,2.814,3.603,11.439,1.491,0,7.817,4.431,4.078,0.414,1.0,5.277,3.83,0.14,3.768,2.5403,T
591,WL09_091,2,2.63,3.637,10.777,1.427,0,7.817,4.431,4.234,0.414,1.0,5.221,3.802,0.116,3.663,2.5551,T
592,WL09_092,3,2.886,3.848,11.514,1.732,0,10.07,4.605,4.82,0.353,1.0,5.334,3.857,0.33,4.473,2.5302,T
593,WL09_093,3,2.947,3.799,12.005,1.782,0,11.8,4.7,4.564,0.523,1.0,5.413,3.901,0.302,7.544,2.5024,T
594,WL09_094,3,2.775,3.816,11.514,1.836,0,11.8,4.625,4.852,0.523,1.0,5.339,3.863,0.314,6.951,2.5302,T
595,WL09_095,3,2.63,3.641,10.985,2.17,0,10.251,4.466,4.382,0.567,1.0,5.222,3.804,0.239,6.371,2.5038,T
596,WL09_097,4,2.776,3.821,11.58,2.17,0,10.341,4.625,4.828,0.567,0.966,5.34,3.863,0.156,6.378,2.5599,T
597,WL09_098,4,2.947,3.8,12.043,2.057,0,11.116,4.691,4.554,0.544,0.969,5.414,3.902,0.27,7.055,2.5328,T
598,WL09_099,3,2.814,3.603,11.504,1.713,0,10.225,4.466,4.263,0.353,0.966,5.278,3.831,0.234,4.957,2.5453,T
599,WL09_100,4,2.782,3.827,11.628,2.065,0,9.568,4.595,4.812,0.592,0.962,5.345,3.865,0.113,5.818,2.5658,T
600,WL09_101,3,2.815,3.606,11.512,1.591,0,8.679,4.466,4.234,0.391,0.958,5.281,3.832,0.209,4.237,2.5575,T
601,WL09_103,3,2.886,3.848,11.514,1.836,0,11.619,4.625,4.852,0.323,1.0,5.334,3.857,0.49,5.032,2.5092,T
602,WL09_104,4,2.902,3.933,11.784,2.292,0,10.164,5.1,5.293,0.323,1.0,5.37,3.885,0.06,4.446,2.5453,T
603,WL09_105,3,2.774,3.816,11.513,1.656,0,9.477,4.595,4.796,0.592,1.0,5.338,3.862,0.146,5.872,2.5623,T
604,WL09_107,5,3.042,3.854,12.204,2.322,0,10.252,5.242,5.58,0.323,1.0,5.494,3.947,-0.007,4.416,2.5705,T
605,WL09_108,3,2.886,3.848,11.513,1.656,0,9.297,4.595,4.796,0.371,1.0,5.333,3.857,0.292,4.112,2.5353,T
606,WL09_109,5,3.039,3.857,12.241,2.378,0,11.182,5.273,5.687,0.503,1.0,5.495,3.952,0.065,5.898,2.5752,T
607,WL09_110,2,3.29,4.22,13.407,1.764,0,10.974,4.605,4.82,0.337,1.0,5.342,3.859,0.352,6.269,2.5611,T
608,WL09_113,3,2.603,3.666,11.267,2.064,0,8.728,5.017,5.165,0.353,1.0,5.298,3.858,0.01,4.661,2.5717,T
609,WL06_01,4,2.715,4.149,11.5,2.098,1,9.503,4.644,4.844,0.946,1.0,5.339,3.873,-0.018,5.069,2.6314,T
610,WL06_04,5,2.758,3.821,11.921,2.253,0,11.413,4.682,4.949,0.811,1.0,5.352,3.881,0.106,7.788,2.5786,T
611,WL06_06,4,3.312,3.847,13.304,2.334,0,11.335,4.644,4.844,0.544,0.926,5.36,3.871,0.215,6.288,2.5694,T
612,WL06_11,3,2.915,4.483,13.187,1.544,0,10.519,2.773,0.0,1.384,0.806,5.02,3.704,0.203,6.554,2.549,T
613,WL06_13,2,2.68,3.879,10.678,1.167,1,8.117,2.303,2.303,1.157,1.0,4.918,3.613,0.115,4.384,2.5403,T
614,WL06_15,3,2.587,3.683,11.017,1.056,0,8.273,2.303,0.0,0.722,0.9,4.942,3.626,0.296,5.214,2.5224,T
615,WL06_16,3,2.683,3.645,11.11,1.595,0,9.477,4.159,3.871,0.592,1.0,5.073,3.711,0.194,5.705,2.5172,T
616,WL06_19,2,2.68,3.641,10.677,1.0,0,8.104,1.946,0.0,1.224,0.889,4.911,3.603,0.134,4.038,2.5119,T
617,WL06_23,2,2.549,3.641,10.678,1.167,0,8.364,2.079,1.386,0.881,1.0,4.911,3.605,0.16,5.452,2.4728,T
619,WL06_30,2,2.55,3.64,10.678,1.835,0,15.974,2.89,2.773,0.469,0.866,4.911,3.606,0.975,8.651,2.3674,T
620,WL06_32,2,2.55,3.64,10.678,1.71,0,12.857,2.639,2.485,0.544,1.0,4.911,3.605,0.705,7.099,2.3075,T
621,JAM_01,2,3.251,4.226,13.003,1.879,1,6.253,2.708,0.0,0.469,0.94,4.793,3.549,0.421,3.896,2.5529,T
623,JAM_03,2,2.671,3.74,10.845,1.238,1,5.972,2.833,1.946,0.722,0.759,4.473,3.425,0.439,4.793,2.6265,T
624,JAM_04,1,3.461,4.614,13.796,2.073,1,7.856,3.091,1.792,0.65,0.954,4.955,3.64,0.377,5.808,2.6416,T
625,JAM_05,8,3.055,3.953,12.941,2.4,1,14.919,5.451,5.808,0.426,0.789,5.548,3.984,0.374,9.658,2.6416,T
626,JAM_06,8,3.512,4.138,13.951,2.698,1,18.689,5.9,6.315,0.684,0.805,5.528,3.969,-0.139,13.364,2.6456,T
629,JAM_09,6,2.836,3.81,12.129,2.294,1,15.148,5.165,4.89,1.068,0.789,5.325,3.689,-0.082,13.437,2.6562,T
630,JAM_10,4,2.732,3.756,11.382,2.17,1,8.517,5.03,5.056,0.567,0.761,5.306,3.667,-0.031,5.993,2.6591,T
632,JAM_12,4,3.054,5.486,13.863,2.327,1,10.616,5.342,5.609,1.322,0.77,5.859,3.94,-0.181,6.649,2.6601,T
633,JAM_13,4,3.04,5.481,13.847,2.356,1,10.616,5.303,5.533,1.322,0.77,5.849,4.094,-0.17,6.492,2.6939,T
634,JFP_06,2,2.679,3.639,10.671,0.724,0,6.623,1.609,0.0,0.811,0.667,4.721,3.532,0.223,3.975,2.5172,T
636,JFP_53,2,3.108,3.672,12.683,1.061,0,8.922,2.303,0.0,1.157,0.657,5.017,3.633,0.11,-999.0,2.5328,T
638,JFP_55,5,2.859,3.698,12.234,1.879,0,9.658,4.575,4.205,0.592,1.0,5.422,3.89,0.214,5.823,2.6435,T
639,JFP_56,3,2.711,3.743,11.32,1.179,0,6.394,2.708,1.946,0.722,0.94,4.964,3.648,0.186,4.691,2.5453,T
640,JFP_57,3,2.707,3.735,11.263,1.314,0,7.162,2.833,2.565,0.684,0.895,4.945,3.641,0.324,5.322,2.5416,T
641,JFP_59,3,3.207,4.113,12.93,2.023,0,12.234,2.996,3.296,0.567,0.932,4.975,3.641,0.452,5.785,2.4378,T
642,JFP_60,3,2.591,3.683,11.044,1.829,0,12.948,2.833,2.485,0.544,1.0,4.943,3.63,0.692,7.395,2.3181,T
643,XLY08_001,3,2.843,3.693,11.362,1.287,0,6.983,4.489,4.575,0.439,1.0,5.333,3.847,0.06,2.869,2.5899,T
644,XLY08_002,4,2.84,3.812,12.038,1.857,0,11.094,5.069,5.069,0.503,1.0,5.33,3.863,0.049,6.809,2.5378,T
645,XLY08_004,3,2.717,3.768,11.686,1.79,0,10.922,4.615,4.419,0.7,1.0,5.365,3.869,0.261,5.283,2.5079,T
646,XLY08_005,3,2.727,3.768,11.686,1.697,0,9.374,4.625,4.29,0.773,1.0,5.378,3.885,0.144,4.409,2.5145,T
647,XLY08_008,3,2.633,3.644,10.996,2.111,0,9.452,4.477,4.369,0.371,1.0,5.224,3.805,0.159,4.605,2.4955,T
648,XLY08_010,3,3.327,3.898,13.329,1.591,0,8.718,4.673,4.489,0.0,0.901,5.452,3.901,0.238,3.22,2.5563,T
649,XLY08_033,3,2.923,3.391,11.787,1.414,0,6.215,4.263,3.807,0.469,1.0,5.348,3.832,0.111,4.314,2.6365,T
650,XLY08_034,3,2.77,3.48,11.271,1.235,0,6.215,4.344,3.611,0.469,1.0,5.303,3.819,0.111,4.097,2.616,T
651,XLY08_035,2,2.552,3.566,10.558,1.0,0,5.359,4.263,3.219,0.503,1.0,5.221,3.79,0.011,3.648,2.6365,T
652,XLY08_045,3,2.981,3.731,11.99,1.495,1,7.779,4.615,4.29,0.817,1.0,5.41,3.901,0.01,4.825,2.6646,T
653,XLY08_050,4,3.001,3.844,12.179,1.979,0,10.34,5.147,5.198,0.523,1.0,5.446,3.927,-0.04,6.243,2.5988,T
654,XLY08_053,3,2.966,3.832,12.114,2.102,1,9.501,4.762,5.056,0.669,0.938,5.367,3.895,0.152,5.761,2.5877,T
655,XLY08_055,2,2.814,3.603,11.439,1.513,0,8.589,4.443,4.174,0.391,1.0,5.277,3.831,0.159,4.244,2.5682,T
656,XLY08_060,2,3.283,4.217,13.388,1.678,0,8.653,4.533,4.71,0.391,1.0,5.342,3.856,0.176,4.982,2.6618,T
657,XLY08_063,4,2.96,3.648,11.996,1.666,0,7.047,4.575,3.807,0.0,1.0,5.479,3.908,0.182,2.339,2.6117,T
659,XLY08_096,4,2.608,3.856,11.161,2.195,0,15.377,3.296,3.178,0.485,0.975,4.746,3.575,0.77,9.148,2.4031,T
660,XLY08_098,1,3.095,3.838,12.487,0.755,0,8.312,2.485,0.0,0.722,0.757,4.751,3.543,0.275,5.26,2.4698,T
663,XLY08_120,3,2.689,3.683,11.097,1.741,0,10.251,3.178,3.296,0.567,0.898,4.922,3.616,0.584,7.162,2.5132,T
665,XLY08_127,3,2.726,3.768,11.683,1.654,0,8.602,4.595,4.143,0.817,1.0,5.378,3.885,0.043,3.937,2.5478,T
666,XLY08_128,3,2.723,3.766,11.662,1.609,0,7.83,4.533,3.892,0.866,1.0,5.378,3.881,-0.027,3.39,2.5551,T
668,XLY08_132,3,2.937,3.749,11.904,1.491,0,7.009,4.554,4.174,0.684,1.0,5.413,3.888,0.029,3.542,2.6532,T
669,XLY08_134,3,2.878,3.815,11.899,1.853,1,8.705,4.575,4.828,0.773,0.958,5.364,3.879,-0.006,4.672,2.5999,T
670,XLY08_135,3,2.775,3.816,11.574,2.211,0,11.206,4.615,4.844,0.868,0.969,5.339,3.863,0.19,8.377,2.5717,T
671,XLY08_139,3,2.796,3.596,11.343,1.322,0,6.215,4.344,3.892,0.469,1.0,5.315,3.825,0.066,3.974,2.5999,T
673,XLY08_143,2,2.814,3.603,11.439,1.618,0,10.135,4.431,4.248,0.353,1.0,5.26,3.811,0.319,4.885,2.5051,T
674,XLY08_144,3,2.833,3.604,11.664,1.759,0,10.981,4.934,4.654,0.31,1.0,5.263,3.814,0.163,5.343,2.5263,T
675,XLY08_145,3,2.879,3.845,11.49,1.458,0,7.753,4.533,4.71,0.414,1.0,5.333,3.854,0.134,3.325,2.574,T
676,XLY08_150,5,3.027,3.66,12.327,1.963,0,9.452,4.779,4.762,0.0,0.925,5.444,3.92,0.358,3.62,2.6385,T
677,XLY08_151,5,3.021,3.675,12.32,1.904,0,9.452,4.779,4.762,0.0,0.925,5.444,3.92,0.355,3.617,2.6444,T
678,XLY08_153,2,3.29,4.22,13.405,1.706,0,9.426,4.564,4.762,0.371,1.0,5.342,3.858,0.208,5.477,2.6053,T
680,XLY08_182,3,3.729,5.025,16.341,3.413,0,28.675,4.111,3.892,1.273,0.896,5.577,4.07,0.419,17.86,2.4116,T
681,XLY08_184,2,2.68,3.641,10.678,1.414,0,9.948,2.303,2.079,0.918,1.0,4.912,3.606,0.188,7.49,2.4472,T
682,XLY08_186,4,3.26,4.246,13.137,2.275,0,10.561,3.466,3.296,0.567,0.966,5.009,3.682,0.563,7.179,2.5999,T
683,XLY08_187,3,3.206,4.115,12.93,2.023,0,12.39,2.565,2.708,0.567,0.932,4.925,3.618,0.4,7.233,2.4378,T
684,XLY08_189,4,2.715,3.915,11.517,2.117,1,10.277,4.644,4.89,0.906,1.0,5.28,3.842,0.109,5.384,2.6031,T
685,XLY08_191,3,2.705,3.731,11.189,1.833,0,11.025,3.296,3.296,0.544,0.875,4.945,3.633,0.653,8.239,2.5198,T
686,XLY08_192,3,2.705,3.731,11.189,1.891,0,12.575,3.367,3.367,0.503,0.83,4.945,3.633,0.97,8.543,2.5172,T
687,NS_001,0,2.303,2.303,9.153,0.0,0,5.442,0.0,0.0,1.252,0.204,4.05,2.943,0.082,-999.0,2.1139,T
688,NS_003,0,1.414,1.414,0.0,-1.414,0,3.117,0.0,0.0,0.0,0.0,4.19,3.162,0.05,1.152,2.233,T
689,NS_004,0,2.0,2.0,7.624,-1.0,0,3.857,0.0,0.0,0.811,0.0,4.348,3.038,-0.039,-999.0,2.238,T
690,NS_005,1,3.31,3.608,13.165,1.182,0,6.765,4.143,3.611,0.922,0.94,5.232,3.741,-0.142,-999.0,2.2718,T
691,NS_016,0,2.731,4.562,12.468,0.568,0,8.468,1.946,0.0,1.753,0.611,4.584,3.445,0.126,-999.0,2.2989,T
693,NS_018,0,2.214,2.214,8.697,-0.539,0,5.416,0.0,0.0,0.65,0.371,4.005,2.903,0.08,-999.0,2.3075,T
694,NS_043,0,1.732,1.732,0.0,0.0,0,4.675,1.099,0.0,0.0,0.667,3.979,3.109,0.278,1.81,2.3483,T
696,NS_059,1,2.782,3.328,11.226,1.287,0,7.509,4.159,3.664,0.439,1.0,5.112,3.573,0.061,-999.0,2.3856,T
697,NS_067,2,3.341,4.756,14.822,2.604,1,15.214,4.691,4.745,1.7,0.892,5.446,3.862,0.067,8.759,2.4065,T
698,NS_073,2,2.842,3.546,11.848,1.678,1,10.096,4.5,4.533,0.735,0.962,5.276,3.674,0.027,-999.0,2.4265,T
699,NS_079,4,3.641,3.906,14.505,2.715,0,18.617,5.62,5.984,0.871,0.875,5.514,3.757,-0.378,-999.0,2.4362,T
700,NS_100,4,3.02,3.578,12.294,2.293,0,11.61,5.187,5.398,0.31,0.813,5.386,3.673,0.071,-999.0,2.4928,T
701,NS_122,3,3.018,3.599,12.423,2.192,1,12.457,5.176,5.501,0.591,0.975,5.375,3.681,-0.059,-999.0,2.5119,T
702,NS_126,2,2.425,3.713,10.678,1.167,0,8.688,1.946,1.099,1.157,1.0,4.676,3.399,0.304,5.052,2.5185,T
704,NS_138,2,2.424,3.713,10.677,1.0,0,7.909,1.792,0.0,1.224,0.889,4.675,3.399,0.198,4.483,2.5366,T
705,NS_140,1,2.303,3.418,9.153,0.0,0,4.792,0.0,0.0,0.65,0.333,4.461,3.35,0.14,2.009,2.5378,T
708,NS_165,5,3.003,3.825,12.63,2.039,0,8.524,4.595,3.807,0.918,1.0,5.589,3.854,0.111,3.267,2.5599,T
709,NS_166,3,2.686,3.767,11.105,2.037,1,12.382,4.5,4.407,0.986,1.0,5.197,3.641,0.24,8.457,2.5599,T
710,NS_169,2,2.422,3.712,10.671,0.724,0,7.13,1.099,0.0,1.299,0.75,4.672,3.398,0.157,3.982,2.5635,T
711,NS_170,5,2.848,3.829,11.853,2.377,0,12.748,4.762,4.949,0.722,0.954,5.34,3.71,0.378,9.913,2.5658,T
712,NS_192,6,2.672,3.772,11.757,2.415,1,18.263,5.124,5.094,1.049,0.969,5.235,3.652,0.166,15.188,2.5843,T
713,NS_196,3,2.505,3.783,11.215,1.487,0,8.434,3.045,2.565,1.041,0.907,4.756,3.446,0.387,5.772,2.5877,T
714,NS_197,3,2.65,3.713,11.022,2.131,1,15.486,4.564,4.382,0.866,1.0,5.188,3.637,0.507,9.283,2.5888,T
715,NS_198,3,2.37,5.263,11.178,2.0,0,10.428,4.875,4.691,0.868,0.781,5.172,3.765,0.095,3.643,2.5888,T
716,NS_201,1,2.499,3.464,9.976,1.0,0,5.206,3.932,2.565,0.544,1.0,5.034,3.688,0.037,-999.0,2.5911,T
717,NS_203,6,3.612,4.332,14.195,2.508,0,14.55,5.451,5.79,0.575,1.0,5.637,3.853,-0.178,9.582,2.5933,T
718,NS_206,1,2.17,4.046,8.507,-1.0,1,3.922,0.0,0.0,0.722,0.0,4.575,3.366,0.112,1.038,2.5944,T
719,NS_207,3,2.77,3.425,11.271,1.235,0,6.189,4.263,3.219,0.0,0.94,5.225,3.649,0.261,2.235,2.5955,T
720,NS_224,6,3.545,4.136,14.031,2.569,0,14.283,5.407,5.727,0.857,0.978,5.617,3.847,0.056,8.73,2.6138,T
721,NS_227,6,3.582,4.358,14.195,2.508,0,15.543,5.451,5.79,0.994,1.0,5.638,3.857,-0.108,8.54,2.618,T
722,NS_232,5,3.512,4.162,13.919,2.424,0,13.432,5.342,5.659,0.884,0.977,5.557,3.818,-0.036,8.256,2.6222,T
724,NS_242,2,2.906,4.524,13.244,0.65,0,8.351,0.0,0.0,0.918,0.319,4.807,3.584,0.106,3.792,2.6284,T
725,NS_243,6,3.07,3.68,12.614,2.388,0,13.8,5.407,5.927,1.054,0.977,5.561,3.818,-0.084,7.352,2.6335,T
726,NS_244,3,3.026,3.647,12.175,1.618,0,6.341,5.056,5.416,0.0,1.0,5.513,3.761,0.009,2.362,2.6355,T
728,NS_251,4,3.904,4.881,15.546,2.595,0,18.712,5.476,6.066,1.494,0.897,5.684,3.903,-0.171,11.632,2.6599,T
729,NS_252,6,3.517,4.188,13.996,2.427,0,14.779,5.416,5.753,1.023,0.978,5.62,3.856,-0.039,8.285,2.6618,T
730,NS_254,8,3.633,4.035,14.295,2.542,0,15.492,5.501,5.802,0.559,0.981,5.738,3.907,-0.219,9.803,2.6749,T
731,NS_256,3,2.708,3.65,11.715,1.414,0,7.419,4.174,3.714,0.845,0.947,5.146,3.635,0.099,3.638,2.6767,T
732,NS_257,7,3.511,4.138,13.954,2.536,0,16.994,5.69,6.084,0.605,0.984,5.525,3.803,-0.033,11.119,2.6794,T
733,NS_260,18,3.305,4.783,14.149,3.026,1,30.012,6.631,7.216,0.941,0.952,5.696,3.96,-0.131,19.907,2.6857,T
735,NS_266,8,3.591,4.134,14.295,2.542,0,17.483,5.501,5.802,1.186,0.981,5.74,3.914,-0.161,7.75,2.7016,T
736,NS_269,15,3.301,4.119,14.079,2.983,1,21.843,6.378,7.086,0.913,1.0,5.741,3.959,-0.096,14.228,2.7101,T
737,NS_272,8,3.587,4.125,14.295,2.542,0,18.251,5.501,5.802,1.186,0.981,5.739,3.909,0.009,7.306,2.7185,T
738,NS_274,14,3.174,3.866,13.689,2.802,1,25.259,6.641,7.502,0.513,1.0,5.765,3.919,0.026,14.489,2.7316,T
739,NS_276,8,3.089,3.728,13.629,2.679,1,18.457,6.358,7.171,0.672,0.977,5.722,4.022,-0.028,10.826,2.7348,T
740,NS_279,9,3.288,4.107,13.553,2.665,1,15.572,5.905,6.529,0.871,1.0,5.642,4.118,-0.059,10.113,2.7404,T
743,NS_285,14,3.175,3.866,13.735,2.89,1,24.375,6.662,7.552,0.415,0.992,5.77,3.921,0.17,12.688,2.7642,T
744,NS_287,14,3.971,4.877,15.724,3.162,1,28.395,6.45,7.27,1.289,0.929,5.831,3.997,-0.178,19.395,2.7664,T
745,NS_289,14,3.158,3.81,13.623,2.8,1,25.259,6.69,7.467,0.513,0.981,5.74,3.906,-0.258,14.047,2.7774,T
746,NS_290,5,2.878,3.794,11.906,2.358,1,10.993,5.182,5.38,0.986,1.0,5.387,3.75,-0.18,7.593,2.7782,T
747,NS_293,18,3.34,3.746,14.141,2.82,1,31.94,7.152,8.1,0.431,0.98,6.1,4.083,-0.215,18.103,2.791,T
748,NS_295,18,3.356,3.883,14.268,2.897,1,31.056,7.152,8.198,0.346,0.964,6.121,4.094,0.113,16.521,2.7952,T
749,NS_296,8,3.016,3.808,12.896,2.639,1,14.4,6.125,6.899,0.825,0.969,5.705,3.92,0.038,8.551,2.7966,T
750,XLY06_03,3,3.604,3.732,14.183,2.576,0,13.713,4.673,5.056,0.523,0.748,5.388,3.847,0.496,-999.0,2.616,T
751,XLY06_06,4,2.727,3.768,11.737,2.115,0,11.012,4.644,4.443,0.7,0.966,5.379,3.886,0.271,5.238,2.4914,T
754,XLY06_38,3,3.018,3.799,12.27,1.524,1,8.705,4.673,4.394,0.773,0.958,5.439,3.918,0.107,4.847,2.6656,T
755,XLY06_39,3,2.947,3.799,12.043,2.057,0,11.206,4.691,4.554,0.868,0.969,5.414,3.902,0.181,8.545,2.534,T
757,XLY06_46,3,2.947,3.799,12.003,1.498,0,8.705,4.644,4.419,0.619,1.0,5.413,3.901,0.112,5.484,2.5922,T
758,XLY06_51,3,2.635,3.655,11.131,2.147,0,12.55,4.543,4.489,0.31,1.0,5.224,3.805,0.445,6.289,2.3979,T
759,XLY06_54,2,2.65,3.62,10.777,1.959,0,16.936,4.564,4.454,0.0,0.821,5.22,3.801,0.93,7.069,2.444,T
760,XLY06_60,2,2.63,3.638,10.777,1.786,0,10.161,4.466,4.344,0.567,1.0,5.221,3.803,0.188,6.325,2.4669,T
761,XLY06_62,3,2.777,3.575,11.49,1.458,1,7.779,4.511,4.615,0.817,1.0,5.28,3.835,0.093,2.716,2.6096,T
763,XLY06_64,2,2.65,3.62,10.777,1.946,0,15.382,4.543,4.431,0.0,0.882,5.22,3.801,0.834,6.467,2.3747,T
765,XLY06_72,4,2.948,3.805,12.047,1.982,0,10.341,4.7,4.554,0.567,0.966,5.415,3.902,0.22,6.606,2.6021,T
766,XLY06_76,4,2.951,3.81,12.077,1.811,0,9.568,4.673,4.533,0.592,0.962,5.419,3.904,0.133,6.115,2.6222,T
767,XLY06_80,3,2.946,3.794,11.99,1.495,0,7.933,4.615,4.29,0.65,1.0,5.413,3.898,0.026,4.84,2.6053,T
768,XLY06_90,2,2.65,3.62,10.777,1.971,0,19.268,4.595,4.489,0.0,0.741,5.22,3.801,1.177,8.621,2.4843,T
