No,logTg,nCsp2,SpMax_EA(ri),SpMax_AEA(dm),SM11_EA,Eig03_EA,B03[C-N],S1K,piPC05,piPC07,AAC,SIC4,SpDiam_B(e),SpMax1_Bh(i),Mor31v,TE1
322,2.4742,0.111111111,0.650969529,0.646982759,0.675417661,0.667011589,0,0.128121524,0.581447964,0.470937682,0.370792926,1,0.771472393,0.762018087,0.483091787,0.947234151
323,2.3118,0.037037037,0.88189373,0.879525862,0.970748424,0.96875,0,0.438029844,0.509582113,0.410716366,0.792926412,0.879,0.814672802,0.848167539,0.541434411,0.956649647
324,2.3692,0.037037037,0.907076303,0.889439655,0.971054403,0.865066225,0,0.364551766,0.476976311,0.360046593,0.76554478,0.87,0.827965235,0.85578296,0.565217391,0.954459053
325,2.3483,0.074074074,0.616217577,0.633836207,0.629643229,0.462541391,0,0.147838429,0.31913761,0.187419918,0.390188249,0.895,0.628067485,0.625892432,0.593831289,0.948253471
326,2.4564,0.111111111,0.920674893,0.889224138,0.975705281,0.890107616,0,0.415857916,0.50053234,0.4,0.753565317,0.897,0.833333333,0.861018563,0.617242661,0.956483535
327,2.3674,0.074074074,0.642155628,0.599137931,0.653448381,0.672392384,0,0.282346849,0.384615385,0.323005242,0.267541358,0.866,0.686860941,0.664445502,0.831289483,0.951035837
328,2.5051,0.111111111,0.667590028,0.649137931,0.71127838,0.706539735,1,0.161206797,0.606068672,0.537565521,0.539646321,0.962,0.781952965,0.782960495,0.453734671,0.948645154
329,2.3483,0,0.436162176,0.187931034,0,0.29263245,0,0.065633511,0.146260314,0,0,0.667,0.448619632,0.42789148,0.572277964,0.9445792
330,2.5038,0.111111111,0.662301687,0.599353448,0.672235481,0.741721854,0,0.17258046,0.5943572,0.51042516,0.323445522,1,0.766359918,0.75868634,0.55778521,0.948883939
331,2.3324,0.037037037,0.547972803,0.629094828,0.569487791,0.625413907,0,0.190935594,0.330715997,0.268258591,0.337706788,1,0.621676892,0.616849119,0.698253437,0.949331307
332,2.3345,0.074074074,0.679929489,0.596551724,0.653448381,0.622516556,0,0.189688903,0.330715997,0.268258591,0.337706788,1,0.686605317,0.657306045,0.709773318,0.947842911
333,2.3181,0.037037037,0.547217326,0.695905172,0.569487791,0.511589404,0,0.142103648,0.276683524,0.208736168,0.660011409,1,0.621676892,0.616373156,0.51802304,0.947308712
334,2.4997,0.111111111,0.643918408,0.64375,0.670583196,0.684602649,0,0.128121524,0.588102209,0.489807804,0.370792926,1,0.768916155,0.76249405,0.48197696,0.947203949
335,2.3304,0.037037037,0.60010073,0.732543103,0.569487791,0.63865894,0,0.215600905,0.360393931,0.298776937,0.705647461,1,0.621676892,0.617325083,0.571163136,0.94882731
336,2.5899,0.111111111,0.715940569,0.610560345,0.695306285,0.558981788,0,0.109900648,0.597418153,0.532906232,0.250427838,1,0.794734151,0.779152784,0.491267187,0.9455787
337,2.5428,0.555555556,0.760261899,0.657327586,0.859188544,0.942880795,1,0.653649929,0.907239819,0.875480489,0.199087279,0.687,0.873210634,0.900999524,0.389817912,0.960570253
338,2.5403,0.074074074,0.708637623,0.591163793,0.700018359,0.601200331,0,0.125896659,0.589699228,0.47501456,0.236166572,1,0.780419223,0.771061399,0.520995912,0.946427189
339,2.5647,0.111111111,0.698564593,0.637068966,0.704424454,0.616514901,0,0.142928382,0.607399521,0.55468841,0.353108956,1,0.79601227,0.786292242,0.492010405,0.947849518
340,2.5403,0.074074074,0.674892974,0.650646552,0.653448381,0.534147351,1,0.13165062,0.306494544,0.268258591,0.660011409,1,0.688650307,0.667777249,0.511705686,0.947008579
341,2.5551,0.111111111,0.685721481,0.626293103,0.713665014,0.625620861,0,0.126145997,0.603273889,0.453348864,0.494010268,1,0.806237219,0.795335554,0.458937198,0.946070427
342,2.5302,0.111111111,0.698816419,0.637068966,0.704608041,0.672599338,0,0.202290076,0.6155177,0.565171811,0.298345693,1,0.796267894,0.786768206,0.58565589,0.949431352
343,2.5024,0.074074074,0.780407958,0.6,0.770760663,0.590645695,0,0.164026238,0.377029545,0.342923704,0.370792926,0.889,0.702198364,0.678724417,0.607580825,0.947162421
344,2.5038,0.518518519,0.75371443,0.642887931,0.847622545,0.918460265,1,0.556273735,0.900186319,0.880372743,0.413576726,0.723,0.87908998,0.830080914,0.267930137,0.960406973
345,2.5599,0.111111111,0.676403928,0.626508621,0.679578973,0.71419702,1,0.21345276,0.598882087,0.513337216,0.562464347,1,0.759969325,0.681104236,0.558156819,0.950852737
346,2.5328,0.148148148,0.742130446,0.63362069,0.736980601,0.718336093,0,0.189171046,0.624301304,0.530460105,0.310325157,0.969,0.815439673,0.805330795,0.569305091,0.949529508
347,2.5453,0.111111111,0.708637623,0.591163793,0.703996083,0.64714404,0,0.172081783,0.5943572,0.496563774,0.201369082,0.966,0.780674847,0.771537363,0.555927165,0.947549385
